"date","year","title","simple_title","artist","main_artist","peak_pos","last_pos","weeks","rank","change","spotify_link","spotify_id","video_link","genre","broad_genre","analysis_url","energy","liveness","tempo","speechiness","acousticness","instrumentalness","time_signature","danceability","key","duration_ms","loudness","valence","mode","lyrics"
"8/4/18",2018,"God Is A Woman","","Ariana Grande","ariana grande",11,22,27,21,"0",NA,NA,NA,"[u'dance pop', u'pop', u'post-teen pop']","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","You, you love it how I move you
You love it how I touch you
My one, when all is said and done
You'll believe God is a woman

And I, I feel it after midnight
A feeling that you can't fight
My one, it lingers when we're done
You'll believe God is a woman

I don't wanna waste no time, yuh
You ain't got a one-track mind, yuh
Have it any way you like, yuh
And I can tell that you know
I know how I want it

Ain't nobody else can relate
Boy I like that you ain't afraid
Baby lay me down and let's pray
I'm telling you the way I like it
How I want it

Yuh
And I can be all of things you tell me not to be, yuh
When you try to come for me I keep on flourishing, yuh
And he see the universe when I'm in company, uh
It's all in me

You, you love it how I move you
You love it how I touch you
My one, when all is said and done
You'll believe God is a woman

And I, I feel it after midnight
A feeling that you can't fight
My one, it lingers when we're done
You'll believe God is a woman

I tell you all the things you should know
So baby take my hands, save your soul
We can make it last, take it slow
And I can tell that you know
I know how I want it

But you different from the rest
And boy if you confess you might get blessed
See if you deserve what comes next
I'm telling you the way I like it
How I want it

Yuh
And I can be all of things you tell me not to be, yuh
When you try to come for me I keep on flourishing, yuh
And he see the universe when I'm in company
It's all in me

You, you love it how I move you
You love it how I touch you
My one, when all is said and done
You'll believe God is a woman

And I, I feel it after midnight
A feeling that you can't fight
My one, it lingers when we're done
You'll believe God is a woman, yeah yeah

God is a woman, yeah yeah
God is a woman
My one (one)
When all is said and done
You'll believe God is a woman

(You'll believe God)
God is a woman (oh, yeah)
God is a woman, yeah
(One) It lingers when we're done
You'll believe God is a woman"
"8/4/18",2018,"Be Careful","","Cardi B","cardi b",34,49,19,46,"0",NA,NA,NA,"[u'pop', u'rap']","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Yeah
Be careful, be careful, be careful with me
Yeah, look

I wanna get married, like the Currys, Steph and Ayesha shit
But we more like Belly‰ÛÓTommy and Keisha shit
Gave you TLC, you wanna creep and shit
Poured out my whole heart to a piece of shit
Man, I thought you would've learned your lesson
'Bout likin' pictures, not returnin' texts
I guess it's fine, man, I get the message
You still stutter after certain questions
You keep in contact with certain exes
Do you, though, trust me, nigga, it's cool, though
Said that you was workin', but you out here chasin' culo
And putas, chillin' poolside, livin' two lives
I could've did what you did to me to you a few times
But if I did decide to slide, find a nigga
Fuck him, suck his dick, you would've been pissed
But that's not my M.O., I'm not that type of bitch
And karma for you is gon' be who you end up with
You make me sick, nigga

The only man, baby, I adore
I gave you everything, what's mine is yours
I want you to live your life of course
But I hope you get what you dyin' for
Be careful with me, do you know what you doin'?
Whose feelings that you're hurtin' and bruisin'?
You gon' gain the whole world
But is it worth the girl that you're losin'?
Be careful with me
Yeah, it's not a threat, it's a warnin'
Be careful with me
Yeah, my heart is like a package with a fragile label on it
Be careful with me


Care for me, care for me
Always said that you'd be there for me, there for me
Boy, you better treat me carefully, carefully, look

I was here before all of this
Guess you actin' out now, you got an audience
Tell me where your mind is, drop a pin, what's the coordinates?
You might have a fortune, but you lose me
You still gon' be misfortunate, nigga
Tell me, this love's got you this fucked up in the head
You want some random bitch up in your bed?
She don't even know your middle name, watch her 'cause she might steal your chain
You don't want someone who loves you instead? I guess not though
It's blatant disrespect, you nothin' like the nigga I met
Talk to me crazy and you quick to forget
You even got me trippin', you got me lookin' in the mirror different
Thinkin' I'm flawed because you inconsistent
Between a rock and a hard place, the mud and the dirt
It's gon' hurt me to hate you, but lovin' you's worse
It all stops so abrupt, we started switchin' it up
Teach me to be like you so I can not give a fuck
Free to mess with someone else, I wish these feelings could melt
'Cause you don't care about a thing except your mothafuckin' self
You make me sick, nigga

The only man, baby, I adore
I gave you everything, what's mine is yours
I want you to live your life of course
But I hope you get what you dyin' for
Be careful with me, do you know what you doin'?
Whose feelings that you're hurtin' and bruisin'?
You gon' gain the whole world
But is it worth the girl that you're losin'?
Be careful with me
Yeah, it's not a threat, it's a warnin'
Be careful with me
Yeah, my heart is like a package with a fragile label on it
Be careful with me"
"8/4/18",2018,"I Like It","","Cardi B, Bad Bunny & J Balvin","cardi b",1,2,16,2,"0",NA,NA,NA,"unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Yeah baby, I like it like that
You gotta believe me when I tell you
I said I like it like that
You gotta believe me when I tell you
I said I like it like


Now I like dollars, I like diamonds, I like stunting, I like shining
I like million dollar deals, where's my pen? Bitch I'm signin' (signin')
I like those Balenciagas (those), the ones that look like socks
I like going to the jeweler, I put rocks all in my watch (cha-ching)
I like texts from my exes when they want a second chance (what?)
I like proving niggas wrong, I do what they say I can't (she can't)
They call me Cardi Bardi, banging body, spicy mami, hot tamale
Hotter than a Somali, fur coat, Ferrari
Hop out the stu', jump in the coupe (coupe)
Big Dipper on top of the roof
Flexing on bitches as hard as I can
Eating halal, driving the Lam'
Told that bitch I'm sorry (sorry)
'Bout my coins like Mario (Mario)
Yeah they call me Cardi B
I run this shit like cardio
Oh, damn


Diamond district in the jag (gang, I said I like it like that)
Certified, you know I'm gang, gang (gang, gang I said I like it like‰ÛÒ)
Drop the top and blow the brains, wouh (wouh!, I said I like it like that)
Oh he's so handsome, what's his name? (yeah, wouh, I said I like it)
Oh I need the dollars, cha-ching (I said I like it like that)
Beat it up like piÌ±atas (I said I like it like)
Tell the driver, close the curtains (I said I like it like that, skrt)
Bad bitch make him nervous (I said I like it)
Cardi B

Chambean, chambean, pero no jalan (åÁjalan!)
TÌ_ compras to'a las Jordan, bo', a mÌ_ me las regalan (hehe-he)
I spend in the club (wouh), what you have in the bank (yeh)
This is the new religion, bang, en Latino gang, gang, yeh
Trato de hacer dieta (yeh), pero es que en el closet tengo mucha grasa (wouh)
Ya mudÌ© la' Gucci pa' dentro de casa, yeh (åÁwouh!)
CabrÌ_n, a ti no te conocen ni en Plaza (no)
El Diablo me llama pero Jesucristo me abraza (amÌ©n)
Guerrero como Eddie, que viva la raza, yeh
Me gustan boricuas, me gustan cubana' (*silbido*)
Me gusta el acento de las colombianas (åÀquÌ© hubo pues?)
Como mueve el culo la dominicana (åÀquÌ© lo que?)
Lo rico que me chingan las venezolanas (åÁwouh!)
Andamos activos, Perico Pin Pin (wouh)
Billetes de cien en el maletÌ_n (ching)
Que retumbe el bajo, Bobby ValentÌ_n, yeh (boo)
AquÌ_ es prohibido amar, diles, CharytÌ_n
Que pal' picor les tengo ClaritÌ_n
Yo llego a la disco y se forma el motÌ_n (rrr)

Diamond district in the jag (gang, I said I like it like that)
Bad Bunny baby, bebÌ©, bebÌ©, bebÌ©
Certified, you know I'm gang, gang (gang, gang I said I like it like)
Drop the top and blow the brains, wouh (wouh!, I said I like it like that)
Oh he's so handsome, what's his name? (yeah, wouh, I said I like it)
Oh I need the dollars, cha-ching (I said I like it like that)
Beat it up like piÌ±atas (I said I like it like)
Tell the driver, close the curtains (I said I like it like that, skrt)
Bad bitch make him nervous (I said I like it)


Como Celia Cruz tengo el azÌ_car (azÌ_ca')
Tu jeva me vio y se fue de pecho como Jimmy Snuka (ah)
Te vamos tumbar la peluca
Y arranca pal' carajo, cabrÌ_n, que a ti no te vo'a pasar la hookah (hookah, hookah)
Mis tenis Balenciaga me reciben en la entrada (wouh)
Pa-pa-pa-parazzi, like I'm Lady Gaga (wouh)
Y no te me hagas (ey)
Que en cover de Billboard tÌ_ has visto mi cara (ey)
No salgo de tu mente (wouh)
Donde quieras que viajes has escuchado ""Mi Gente""
Yo no soy high (high), soy como el Testarossa ('rossa)
Yo soy el que se la vive y tambiÌ©n el que la goza (goza, goza)
Es la cosa, mami es la cosa (cosa, cosa)
El que mira sufre y el que toca goza (goza, goza)


I said I like it like that
I said I like it like that (rrr)
I said I like it like that (wouh)
I said I like it like that


Diamond district in the jag (gang, I said I like it like that)
Certified, you know I'm gang, gang (gang, gang I said I like it like)
Drop the top and blow the brains, wouh (I said I like it like that)
Oh he's so handsome, what's his name? (I said I like it)"
"8/4/18",2018,"Back To You","","Selena Gomez","selena gomez",26,26,16,26,"0",NA,NA,NA,"[u'dance pop', u'pop', u'post-teen pop']","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Took you like a shot
Thought that I could chase you with a cold evening
Let a couple years water down how I'm feeling about you
And every time we talk
Every single word builds up to this moment
And I gotta convince myself
I don't want it even though I do

You could break my heart in two
But when it heals, it beats for you
I know it's forward but it's true

I wanna hold you when I'm not supposed to
When I'm lying close to someone else
You're stuck in my head and I can't get you out of it
If I could do it all again
I know I'd go back to you
I know I'd go back to you
I know I'd go back to you

We never got it right
Playing and replaying old conversations
Overthinking every word and I hate it
‰Û÷Cause it's not me
And what's the point in hiding
Everybody knows that we got unfinished business
And I regret it if I didn't say this isn't what it could be

You could break my heart in two
But when it heals, it beats for you
I know it's forward but it's true

I wanna hold you when I'm not supposed to
When I'm lying close to someone else
You're stuck in my head and I can't get you out of it
If I could do it all again
I know I'd go back to you
I know I'd go back to you

I'd go back to you
I'd go back to you
What was there, wasn't sure
But I'd go back to you
I know I'd go back to you

You can break my heart in two
But when it heals, it beats for you
I know it's forward but it's true
Won't lie, I'd go back to you
You know, my thoughts are running loose
It's just a thing you make me do
And I could fight, but what's the use
I know I'd go back to you

I wanna hold you when I'm not supposed to
When I'm lying close to someone else
You're stuck in my head and I can't get you out of it
If I could do it all again
I know I'd go back to you

I'd go back to you
I'd go back to you
I know I'd go back to you
I'd go back to you
I'd go back to you
I know I'd go back to you"
"8/4/18",2018,"FeFe","","6ix9ine Featuring Nicki Minaj & Murda Beatz","6ix9ine",5,7,13,4,"0",NA,NA,NA,"unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Error: Could not find lyrics."
"8/4/18",2018,"Sober","","Demi Lovato","demi lovato",41,55,11,56,"0",NA,NA,NA,"[u'dance pop', u'pop', u'post-teen pop']","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","I got no excuses for all of these goodbyes
Call me when it's over, 'cause I'm dying inside
Wake me when the shakes are gone
And the cold sweats disappear
Call me when it's over and myself has reappeared

I don't know, I don't know, I don't know, I don't know why
I do it every, every, every time
It's only when I'm lonely
Sometimes I just wanna cave and I don't wanna fight
I try and I try and I try and I try and I try
Just hold me, I'm lonely

Momma, I'm so sorry, I'm not sober anymore
And daddy, please, forgive me for the drinks spilled on the floor
To the ones who never left me, we've been down this road before
I'm so sorry, I'm not sober anymore

I'm sorry to my future love for the man that left my bed
For making love the way I saved for you inside my head
And I'm sorry for the fans I lost who watched me fall again
I wanna be a role model, but I'm only human

I don't know, I don't know, I don't know, I don't know why
I do it every, every, every time
It's only when I'm lonely
Sometimes I just wanna cave and I don't wanna fight
I try and I try and I try and I try and I try
Just hold me, I'm lonely

Momma, I'm so sorry, I'm not sober anymore
And daddy, please, forgive me for the drinks spilled on the floor
To the ones who never left me, we've been down this road before
I'm so sorry, I'm not sober anymore
I'm not sober anymore

I'm sorry that I'm here again, I promise I'll get help
It wasn't my intention, I'm sorry to myself"
"8/4/18",2018,"Girls Like You","","Maroon 5 Featuring Cardi B","maroon 5",3,3,9,3,"0",NA,NA,NA,"unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Error: Could not find lyrics."
"8/4/18",2018,"Te Bote","","Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny","ozuna",43,45,9,41,"0",NA,NA,NA,"unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Error: Could not find lyrics."
"8/4/18",2018,"Bed","","Nicki Minaj Featuring Ariana Grande","nicki minaj",57,57,8,55,"0",NA,NA,NA,"unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Error: Could not find lyrics."
"7/14/18",2018,"Me Niego","","Reik Featuring Ozuna & Wisin","ozuna",NA,NA,1,97,"0",NA,NA,NA,"unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Error: Could not find lyrics."
